Year,CBSA,CBSA Name,Composite,Rank,Score
2009-2014,48620,"Wichita, KS",Inclusion,94,-2.715867519
2009-2014,49180,"Winston-Salem, NC",Inclusion,85,-1.77538383
2009-2014,49340,"Worcester, MA-CT",Inclusion,43,0.16870828
2009-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Inclusion,20,1.529204488
2013-2014,10420,"Akron, OH",Inclusion,98,-2.785870552
2013-2014,10580,"Albany-Schenectady-Troy, NY",Inclusion,57,-0.515361428
2013-2014,10740,"Albuquerque, NM",Inclusion,49,-0.134244323
2013-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Inclusion,8,2.314325333
2013-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Inclusion,55,-0.400531888
2013-2014,12260,"Augusta-Richmond County, GA-SC",Inclusion,78,-1.088901401
2013-2014,12420,"Austin-Round Rock, TX",Inclusion,90,-1.858412027
2013-2014,12540,"Bakersfield, CA",Inclusion,99,-2.978923798
2013-2014,12580,"Baltimore-Columbia-Towson, MD",Inclusion,86,-1.520597219
2013-2014,12940,"Baton Rouge, LA",Inclusion,5,2.700569153
2013-2014,13820,"Birmingham-Hoover, AL",Inclusion,80,-1.36775136
2013-2014,14260,"Boise City, ID",Inclusion,10,1.947613716
2013-2014,14460,"Boston-Cambridge-Newton, MA-NH",Inclusion,64,-0.740512788
2013-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Inclusion,71,-0.853803754
2013-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Inclusion,38,0.431486666
2013-2014,15980,"Cape Coral-Fort Myers, FL",Inclusion,37,0.543100953
2013-2014,16700,"Charleston-North Charleston, SC",Inclusion,15,1.614731789
2013-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Inclusion,65,-0.743805468
2013-2014,16860,"Chattanooga, TN-GA",Inclusion,100,-3.179289103
2013-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Inclusion,35,0.589236975
2013-2014,17140,"Cincinnati, OH-KY-IN",Inclusion,42,0.219250381
2013-2014,17460,"Cleveland-Elyria, OH",Inclusion,84,-1.461811304
2013-2014,17820,"Colorado Springs, CO",Inclusion,79,-1.211957455
2013-2014,17900,"Columbia, SC",Inclusion,60,-0.627280951
2013-2014,18140,"Columbus, OH",Inclusion,59,-0.585352004
2013-2014,19100,"Dallas-Fort Worth-Arlington, TX",Inclusion,73,-0.961574316
2013-2014,19380,"Dayton, OH",Inclusion,17,1.526714683
2013-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Inclusion,75,-0.988665938
2013-2014,19740,"Denver-Aurora-Lakewood, CO",Inclusion,6,2.509511948
2013-2014,19780,"Des Moines-West Des Moines, IA",Inclusion,96,-2.434994936
2013-2014,19820,"Detroit-Warren-Dearborn, MI",Inclusion,39,0.430147648
2013-2014,21340,"El Paso, TX",Inclusion,87,-1.528435946
2013-2014,23420,"Fresno, CA",Inclusion,61,-0.682244897
2013-2014,24340,"Grand Rapids-Wyoming, MI",Inclusion,26,0.91813767
2013-2014,24660,"Greensboro-High Point, NC",Inclusion,33,0.664852619
2013-2014,24860,"Greenville-Anderson-Mauldin, SC",Inclusion,7,2.483976364
2013-2014,25420,"Harrisburg-Carlisle, PA",Inclusion,72,-0.935978353
2013-2014,25540,"Hartford-West Hartford-East Hartford, CT",Inclusion,24,1.138464093
2013-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Inclusion,25,1.095375657
2013-2014,26900,"Indianapolis-Carmel-Anderson, IN",Inclusion,45,0.110378891
2013-2014,27140,"Jackson, MS",Inclusion,4,2.763664007
2013-2014,27260,"Jacksonville, FL",Inclusion,91,-1.868419647
2013-2014,28140,"Kansas City, MO-KS",Inclusion,82,-1.399526477
2013-2014,28940,"Knoxville, TN",Inclusion,62,-0.719734907
2013-2014,29460,"Lakeland-Winter Haven, FL",Inclusion,29,0.840704143
2013-2014,29820,"Las Vegas-Henderson-Paradise, NV",Inclusion,23,1.193011761
2013-2014,30780,"Little Rock-North Little Rock-Conway, AR",Inclusion,92,-1.96469903
2013-2014,31080,"Los Angeles-Long Beach-Anaheim, CA",Inclusion,44,0.145037681
2013-2014,31140,"Louisville/Jefferson County, KY-IN",Inclusion,83,-1.412447333
2013-2014,31540,"Madison, WI",Inclusion,85,-1.468223214
2013-2014,32580,"McAllen-Edinburg-Mission, TX",Inclusion,94,-2.204308033
2013-2014,32820,"Memphis, TN-MS-AR",Inclusion,81,-1.371229649
2013-2014,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Inclusion,21,1.243235946
2013-2014,33340,"Milwaukee-Waukesha-West Allis, WI",Inclusion,67,-0.780463815
2013-2014,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Inclusion,51,-0.174367756
2013-2014,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN",Inclusion,56,-0.425756544
2013-2014,35300,"New Haven-Milford, CT",Inclusion,76,-1.064210176
2013-2014,35380,"New Orleans-Metairie, LA",Inclusion,9,2.088681936
2013-2014,35620,"New York-Newark-Jersey City, NY-NJ-PA",Inclusion,34,0.633732677
2013-2014,35840,"North Port-Sarasota-Bradenton, FL",Inclusion,1,5.113667011
2013-2014,36260,"Ogden-Clearfield, UT",Inclusion,3,3.315286636
2013-2014,36420,"Oklahoma City, OK",Inclusion,88,-1.651455402
2013-2014,36540,"Omaha-Council Bluffs, NE-IA",Inclusion,63,-0.732046366
2013-2014,36740,"Orlando-Kissimmee-Sanford, FL",Inclusion,66,-0.748240948
2013-2014,37100,"Oxnard-Thousand Oaks-Ventura, CA",Inclusion,95,-2.227648735
2013-2014,37340,"Palm Bay-Melbourne-Titusville, FL",Inclusion,28,0.8863644
2013-2014,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Inclusion,43,0.193635628
2013-2014,38060,"Phoenix-Mesa-Scottsdale, AZ",Inclusion,77,-1.077872157
2013-2014,38300,"Pittsburgh, PA",Inclusion,19,1.437215805
2013-2014,38900,"Portland-Vancouver-Hillsboro, OR-WA",Inclusion,32,0.749854088
2013-2014,39300,"Providence-Warwick, RI-MA",Inclusion,22,1.204965472
2013-2014,39340,"Provo-Orem, UT",Inclusion,2,3.950715065
2013-2014,39580,"Raleigh, NC",Inclusion,69,-0.811121166
2013-2014,40060,"Richmond, VA",Inclusion,36,0.570400834
2013-2014,40140,"Riverside-San Bernardino-Ontario, CA",Inclusion,70,-0.845097423
2013-2014,40380,"Rochester, NY",Inclusion,54,-0.320486546
2013-2014,40900,"Sacramento-Roseville-Arden-Arcade, CA",Inclusion,52,-0.235214978
2013-2014,41180,"St. Louis, MO-IL",Inclusion,97,-2.545442104
2013-2014,41620,"Salt Lake City, UT",Inclusion,48,-0.133125886
2013-2014,41700,"San Antonio-New Braunfels, TX",Inclusion,50,-0.153146818
2013-2014,41740,"San Diego-Carlsbad, CA",Inclusion,31,0.790193319
2013-2014,41860,"San Francisco-Oakland-Hayward, CA",Inclusion,41,0.357625008
2013-2014,41940,"San Jose-Sunnyvale-Santa Clara, CA",Inclusion,11,1.842864871
2013-2014,42540,"Scranton-Wilkes-Barre-Hazleton, PA",Inclusion,40,0.396682829
2013-2014,42660,"Seattle-Tacoma-Bellevue, WA",Inclusion,47,-0.079078898
2013-2014,44060,"Spokane-Spokane Valley, WA",Inclusion,27,0.886536121
2013-2014,44140,"Springfield, MA",Inclusion,58,-0.536298275
2013-2014,44700,"Stockton-Lodi, CA",Inclusion,13,1.79168725
2013-2014,45060,"Syracuse, NY",Inclusion,18,1.512959957
2013-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Inclusion,46,-0.062537611
2013-2014,45780,"Toledo, OH",Inclusion,12,1.835560203
2013-2014,46060,"Tucson, AZ",Inclusion,20,1.424118638
2013-2014,46140,"Tulsa, OK",Inclusion,14,1.758297682
2013-2014,46520,"Urban Honolulu, HI",Inclusion,16,1.601801276
2013-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Inclusion,53,-0.297491014
2013-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Inclusion,68,-0.780661106
2013-2014,48620,"Wichita, KS",Inclusion,93,-2.176860571
2013-2014,49180,"Winston-Salem, NC",Inclusion,89,-1.756762147
2013-2014,49340,"Worcester, MA-CT",Inclusion,30,0.812120199
2013-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Inclusion,74,-0.968218923
