Year,CBSA,CBSA Name,Composite,Rank,Score
2013-2014,12420,"Austin-Round Rock, TX",Race,51,0.411583602
2013-2014,12540,"Bakersfield, CA",Race,11,2.013412952
2013-2014,12580,"Baltimore-Columbia-Towson, MD",Race,87,-1.653230667
2013-2014,12940,"Baton Rouge, LA",Race,52,0.399984062
2013-2014,13820,"Birmingham-Hoover, AL",Race,75,-0.842278361
2013-2014,14260,"Boise City, ID",Race,90,-2.199641705
2013-2014,14460,"Boston-Cambridge-Newton, MA-NH",Race,78,-1.080900192
2013-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Race,83,-1.41738987
2013-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Race,57,0.272613525
2013-2014,15980,"Cape Coral-Fort Myers, FL",Race,22,1.288739443
2013-2014,16700,"Charleston-North Charleston, SC",Race,42,0.755239248
2013-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Race,64,-0.056522243
2013-2014,16860,"Chattanooga, TN-GA",Race,34,1.007803679
2013-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Race,19,1.366834641
2013-2014,17140,"Cincinnati, OH-KY-IN",Race,49,0.453300089
2013-2014,17460,"Cleveland-Elyria, OH",Race,79,-1.093484282
2013-2014,17820,"Colorado Springs, CO",Race,97,-5.501830101
2013-2014,17900,"Columbia, SC",Race,35,1.003602505
2013-2014,18140,"Columbus, OH",Race,93,-2.375953674
2013-2014,19100,"Dallas-Fort Worth-Arlington, TX",Race,61,0.098203972
2013-2014,19380,"Dayton, OH",Race,77,-0.971248627
2013-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Race,100,-9.968899727
2013-2014,19740,"Denver-Aurora-Lakewood, CO",Race,48,0.480418414
2013-2014,19780,"Des Moines-West Des Moines, IA",Race,91,-2.216655731
2013-2014,19820,"Detroit-Warren-Dearborn, MI",Race,60,0.141785234
2013-2014,21340,"El Paso, TX",Race,99,-7.415773869
2013-2014,23420,"Fresno, CA",Race,43,0.722060442
2013-2014,24340,"Grand Rapids-Wyoming, MI",Race,82,-1.366410494
