year,CBSA,CBSA_name,rank,score
2009-2014,38300,Pittsburgh; PA Metropolitan Statistical Area,48,-0.305428877
2009-2014,38900,Portland-Vancouver-Hillsboro; OR-WA Metropolitan Statistical Area,15,2.8031832652
2009-2014,39300,Providence-Warwick; RI-MA Metropolitan Statistical Area,63,-1.284187805
2009-2014,39340,Provo-Orem; UT Metropolitan Statistical Area,4,6.1950319282
2009-2014,39580,Raleigh; NC Metropolitan Statistical Area,13,3.035734573
2009-2014,40060,Richmond; VA Metropolitan Statistical Area,59,-0.91890242
2009-2014,40140,Riverside-San Bernardino-Ontario; CA Metropolitan Statistical Area,36,0.5518608354
2009-2014,40380,Rochester; NY Metropolitan Statistical Area,85,-2.466641353
2009-2014,40900,Sacramento--Roseville--Arden-Arcade; CA Metropolitan Statistical Area,70,-1.89895147
2009-2014,41180,St. Louis; MO-IL Metropolitan Statistical Area,90,-2.614456578
2009-2014,41620,Salt Lake City; UT Metropolitan Statistical Area,21,2.3597735547
2009-2014,41700,San Antonio-New Braunfels; TX Metropolitan Statistical Area,8,4.5218380599
2009-2014,41740,San Diego-Carlsbad; CA Metropolitan Statistical Area,31,0.9049178115
2009-2014,41860,San Francisco-Oakland-Hayward; CA Metropolitan Statistical Area,9,3.8938401352
2009-2014,41940,San Jose-Sunnyvale-Santa Clara; CA Metropolitan Statistical Area,1,9.8563944691
2009-2014,42540,Scranton--Wilkes-Barre--Hazleton; PA Metropolitan Statistical Area,91,-2.745518795
2009-2014,42660,Seattle-Tacoma-Bellevue; WA Metropolitan Statistical Area,16,2.7406163664
2009-2014,44060,Spokane-Spokane Valley; WA Metropolitan Statistical Area,76,-2.195667912
2009-2014,44140,Springfield; MA Metropolitan Statistical Area,64,-1.354863147
2009-2014,44700,Stockton-Lodi; CA Metropolitan Statistical Area,84,-2.453163336
2009-2014,45060,Syracuse; NY Metropolitan Statistical Area,95,-3.330421909
2009-2014,45300,Tampa-St. Petersburg-Clearwater; FL Metropolitan Statistical Area,42,-0.005983088
2009-2014,45780,Toledo; OH Metropolitan Statistical Area,50,-0.451190111
2009-2014,46060,Tucson; AZ Metropolitan Statistical Area,94,-3.301236376
2009-2014,46140,Tulsa; OK Metropolitan Statistical Area,47,-0.290463112
2009-2014,46520,Urban Honolulu; HI Metropolitan Statistical Area,56,-0.879788752
2009-2014,47260,Virginia Beach-Norfolk-Newport News; VA-NC Metropolitan Statistical Area,97,-3.873489486
2009-2014,47900,Washington-Arlington-Alexandria; DC-VA-MD-WV Metropolitan Statistical Area,71,-1.980600993
2009-2014,48620,Wichita; KS Metropolitan Statistical Area,98,-4.183827408
2009-2014,49180,Winston-Salem; NC Metropolitan Statistical Area,80,-2.353248418
2009-2014,49340,Worcester; MA-CT Metropolitan Statistical Area,43,-0.019743126
2009-2014,49660,Youngstown-Warren-Boardman; OH-PA Metropolitan Statistical Area,72,-2.060226829
2013-2014,10420,Akron; OH Metropolitan Statistical Area,53,-0.421348296
2013-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,66,-1.238282617
2013-2014,10740,Albuquerque; NM Metropolitan Statistical Area,88,-3.236181203
2013-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical Area,51,-0.394084734
2013-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical Area,19,2.8002284556
2013-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Area,65,-1.1926143
2013-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,3,6.6747058219
2013-2014,12540,Bakersfield; CA Metropolitan Statistical Area,70,-1.539811709
2013-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Area,82,-2.634051017
2013-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,27,1.1428954478
2013-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,89,-3.247678944
2013-2014,14260,Boise City; ID Metropolitan Statistical Area,21,2.6073848362
2013-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Area,35,0.540477015
2013-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical Area,85,-2.791269353
2013-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statistical Area,67,-1.342310833
2013-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,2,6.7439708901
2013-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical Area,26,1.2291490989
2013-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical Area,17,3.0228319658
2013-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,93,-3.462059011
2013-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistical Area,63,-1.142087731
2013-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,46,-0.277203684
2013-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,86,-2.848666806
2013-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,56,-0.481957808
2013-2014,17900,Columbia; SC Metropolitan Statistical Area,31,0.747541108
2013-2014,18140,Columbus; OH Metropolitan Statistical Area,30,0.9090881591
2013-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical Area,6,4.7120264149
2013-2014,19380,Dayton; OH Metropolitan Statistical Area,78,-2.133842778
2013-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statistical Area,42,0.1353477603
2013-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,5,5.1787255131
2013-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Area,33,0.5907122558
2013-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,55,-0.451721609
2013-2014,21340,El Paso; TX Metropolitan Statistical Area,59,-0.745772572
2013-2014,23420,Fresno; CA Metropolitan Statistical Area,40,0.3320882322
2013-2014,24340,Grand Rapids-Wyoming; MI Metropolitan Statistical Area,16,3.1840052544
2013-2014,24660,Greensboro-High Point; NC Metropolitan Statistical Area,95,-3.563025693
2013-2014,24860,Greenville-Anderson-Mauldin; SC Metropolitan Statistical Area,29,0.9457945234
2013-2014,25420,Harrisburg-Carlisle; PA Metropolitan Statistical Area,69,-1.456755215
2013-2014,25540,Hartford-West Hartford-East Hartford; CT Metropolitan Statistical Area,80,-2.340525982
2013-2014,26420,Houston-The Woodlands-Sugar Land; TX Metropolitan Statistical Area,4,5.3092807617
2013-2014,26900,Indianapolis-Carmel-Anderson; IN Metropolitan Statistical Area,76,-2.060922834
2013-2014,27140,Jackson; MS Metropolitan Statistical Area,92,-3.290132702
2013-2014,27260,Jacksonville; FL Metropolitan Statistical Area,34,0.5670626321
2013-2014,28140,Kansas City; MO-KS Metropolitan Statistical Area,49,-0.370093495
2013-2014,28940,Knoxville; TN Metropolitan Statistical Area,64,-1.169685112
2013-2014,29460,Lakeland-Winter Haven; FL Metropolitan Statistical Area,84,-2.790638912
2013-2014,29820,Las Vegas-Henderson-Paradise; NV Metropolitan Statistical Area,23,1.9466247971
2013-2014,30780,Little Rock-North Little Rock-Conway; AR Metropolitan Statistical Area,99,-4.765611995
2013-2014,31080,Los Angeles-Long Beach-Anaheim; CA Metropolitan Statistical Area,37,0.5202860961
2013-2014,31140,Louisville/Jefferson County; KY-IN Metropolitan Statistical Area,36,0.535486018
2013-2014,31540,Madison; WI Metropolitan Statistical Area,47,-0.28319989
2013-2014,32580,McAllen-Edinburg-Mission; TX Metropolitan Statistical Area,22,2.4529298034
2013-2014,32820,Memphis; TN-MS-AR Metropolitan Statistical Area,90,-3.250803371
2013-2014,33100,Miami-Fort Lauderdale-West Palm Beach; FL Metropolitan Statistical Area,20,2.6613746296
