"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","7010","...","Total employment",191150,196791,209771,227296,239403,246977,252866,266876,282006,301499,315197,316340,319848,325336,339906,359473,377199,390555,407274,427747,437755,444940,457449,467154,486150,509918,536768,543665,553150,562492,566594,581901,589423,593474,603405,618897,631655,652092,665660,663292,640544,627230,625334,624778,629621
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","7020","...","  Wage and salary employment",168998,173156,184999,200451,210893,216269,220001,232723,245667,263815,276432,275388,277239,279441,291451,308709,323245,333933,342838,351894,361615,372226,376748,388571,404559,426291,445504,448775,455705,463120,469809,482127,487110,491045,497163,506878,514822,530612,534845,533107,510515,500828,497200,497304,499840
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","7040","...","  Proprietors employment",22152,23635,24772,26845,28510,30708,32865,34153,36339,37684,38765,40952,42609,45895,48455,50764,53954,56622,64436,75853,76140,72714,80701,78583,81591,83627,91264,94890,97445,99372,96785,99774,102313,102429,106242,112019,116833,121480,130815,130185,130029,126402,128134,127474,129781
"89108","Amarillo-Borger, TX (Combined Statistical Area)","","CA4","10","...","Personal income (thousands of dollars)",648267,695012,755725,804746,933620,1018607,1258725,1376477,1511973,1715824,1942360,2145350,2498726,2755017,3004603,3191679,3323127,3329943,3380909,3450903,3599514,3768008,3879108,4151005,4399579,4627635,4890400,5088807,5432122,5689973,5829768,6121143,6415619,6535392,6872343,7158919,7703831,8280758,8797316,9653428,9327502,9810736,10444994,11027472,11242902
"89108","Amarillo-Borger, TX (Combined Statistical Area)","","CA4","11","...","  Nonfarm personal income 1/",610761,658890,716959,775694,867513,1012401,1193759,1342241,1477903,1685491,1890842,2138668,2462915,2722874,2869604,3101680,3252487,3259487,3336146,3393393,3537929,3669342,3777615,4034277,4274345,4556154,4831140,5039580,5362269,5618776,5732776,6043829,6309961,6444878,6760808,7053165,7605732,8209392,8685937,9583450,9296722,9684369,10240933,10852042,11072268
"89108","Amarillo-Borger, TX (Combined Statistical Area)","","CA4","12","...","  Farm income 2/",37506,36122,38766,29052,66107,6206,64966,34236,34070,30333,51518,6682,35811,32143,134999,89999,70640,70456,44763,57510,61585,98666,101493,116728,125234,71481,59260,49227,69853,71197,96992,77314,105658,90514,111535,105754,98099,71366,111379,69978,30780,126367,204061,175430,170634
"89108","Amarillo-Borger, TX (Combined Statistical Area)","","CA4","20","...","Population (persons) 3/",194888,179835,183309,186220,185660,187040,190276,193917,197808,200595,206724,212134,216245,222458,226248,228429,228101,228567,226863,227476,225780,224065,226267,228766,232558,236295,242055,244182,246185,247802,250648,252993,253598,255442,257911,260044,262589,264832,266746,268309,271557,274795,277790,279467,280015
"89108","Amarillo-Borger, TX (Combined Statistical Area)","","CA4","30","...","Per capita personal income (dollars) 4/",3326,3865,4123,4321,5029,5446,6615,7098,7644,8554,9396,10113,11555,12384,13280,13972,14569,14569,14903,15170,15943,16817,17144,18145,18918,19584,20204,20840,22065,22962,23259,24195,25298,25585,26646,27530,29338,31268,32980,35979,34348,35702,37600,39459,40151
"89108","Amarillo-Borger, TX (Combined Statistical Area)","","CA4","35","...","Earnings by place of work",546936,579971,627772,664044,774487,838178,1051012,1160224,1273406,1439310,1628340,1754897,2020244,2190513,2391381,2507390,2576346,2562269,2601354,2612166,2670406,2834556,2913222,3132456,3355963,3511478,3720991,3843234,4110480,4300774,4466844,4637279,4877897,5010537,5249487,5552281,5832249,6356407,6568790,7129239,6961058,7325718,7674726,8044889,8277867
"89108","Amarillo-Borger, TX (Combined Statistical Area)","","CA4","36","...","Less: Contributions for government social insurance 5/",33305,35278,39170,44375,57487,69525,80505,92734,103316,119555,140635,156475,192745,215582,223416,247746,260807,256504,257906,270643,276006,282220,299585,315733,337281,363006,385884,394537,413831,430968,446089,459567,477619,494615,525423,553937,579055,619880,650315,694156,708671,732399,667043,690544,799635
