"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"09001","Fairfield, CT ","1","CA4","46","...","Plus: Dividends, interest, and rent 7/",888601,966033,1033311,1116530,1179462,1287354,1321743,1415950,1552676,1749632,2001994,2416121,3031537,3366172,3451979,4036203,4166378,4415632,4738084,5411075,6646944,6859749,6526002,6929044,7342775,7543530,7900053,8275638,8975573,9757663,10216158,11264677,11451960,10986652,10751684,12793759,14965650,18019145,18973954,18255081,14989457,15697127,18441211,18828245,19037019
"09001","Fairfield, CT ","1","CA4","47","...","Plus: Personal current transfer receipts",233913,283477,350815,374090,406662,475093,622910,669276,701616,737698,820207,948382,1072107,1192022,1285499,1343812,1428987,1514341,1565154,1688869,1882415,2105265,2351678,2771352,2902273,2999120,3217143,3299945,3393211,3402968,3492487,3692770,3915056,4191097,4241637,4551529,4603821,4882812,5136307,5620913,6467169,6739400,6758042,6955348,7024240
"09001","Fairfield, CT ","1","CA4","50","...","Wages and salaries",2365253,2512247,2573400,2780518,3083802,3361525,3509059,3849611,4316151,4916248,5591912,6425611,7209836,7807887,8304789,9315397,10183010,11117245,12192847,13557251,14075262,14597499,14652489,15490070,16062438,16465326,17896494,19276615,21564336,23449328,25168592,27596424,28286218,26962320,27659018,29410111,31127764,33290521,36063559,35749935,32768126,33941966,35522632,36220189,36271678
"09001","Fairfield, CT ","1","CA4","60","...","Supplements to wages and salaries",268699,287211,305637,355218,404068,450783,508606,570884,671333,784727,921432,1068874,1244307,1385296,1510640,1684839,1859765,2050283,2218415,2440726,2628212,2716913,2811287,3022123,3203989,3263460,3417917,3522881,3742459,4004513,4205052,4536174,5137722,5052989,5401392,5843950,6079331,6193093,6546720,6700492,6462326,6640174,6840492,6829960,6697831
"09001","Fairfield, CT ","1","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",166510,181276,192692,222077,232355,257913,311761,340887,406127,468696,551267,654202,749900,840814,918828,984471,1108568,1237575,1353133,1478502,1637854,1712553,1782695,1948722,2079351,2077185,2164211,2206748,2343619,2533133,2667988,2897576,3489177,3325386,3636301,4006646,4219672,4287922,4544399,4663968,4484999,4641878,4744365,4664355,4498623
"09001","Fairfield, CT ","1","CA4","62","...","  Employer contributions for government social insurance",102189,105935,112945,133141,171713,192870,196845,229997,265206,316031,370165,414672,494407,544482,591812,700368,751197,812708,865282,962224,990358,1004360,1028592,1073401,1124638,1186275,1253706,1316133,1398840,1471380,1537064,1638598,1648545,1727603,1765091,1837304,1859659,1905171,2002321,2036524,1977327,1998296,2096127,2165605,2199208
"09001","Fairfield, CT ","1","CA4","70","...","Proprietors' income 9/",359595,356905,381959,412623,435888,429914,459849,562316,668490,739946,797548,806147,806174,738550,803274,1039347,1110838,1130567,1422890,1764758,1868238,1895381,2049193,2582181,2949876,3235421,3467752,3586648,4044740,4206219,4746447,5680193,6710125,7127604,6674507,6879972,6751314,7348848,6488507,6669306,7601019,8162942,8918906,9993865,10591485
"09001","Fairfield, CT ","1","CA4","71","...","  Farm proprietors' income",2389,2295,2271,2116,2501,2173,1562,693,357,920,540,419,90,1092,408,752,398,792,812,-115,-711,162,364,3246,5407,6487,6916,1647,847,3047,6923,8090,7691,5517,5971,6895,9865,9953,11311,10264,9975,10851,12586,8221,7263
"09001","Fairfield, CT ","1","CA4","72","...","  Nonfarm proprietors' income",357206,354610,379688,410507,433387,427741,458287,561623,668133,739026,797008,805728,806084,737458,802866,1038595,1110440,1129775,1422078,1764873,1868949,1895219,2048829,2578935,2944469,3228934,3460836,3585001,4043893,4203172,4739524,5672103,6702434,7122087,6668536,6873077,6741449,7338895,6477196,6659042,7591044,8152091,8906320,9985644,10584222
"09001","Fairfield, CT ","1","CA4","7010","...","Total employment",366672,366252,358267,364054,379191,383909,374936,385892,403360,425460,442700,455859,470540,474803,476184,495194,509468,519808,525397,537634,532086,521951,503321,501927,512679,508287,518746,528175,537529,550327,561741,575098,572844,569579,570077,577370,585367,596312,616085,616780,603664,597955,615365,621443,629965
